lrp,lat,lon,length,condition,structureNr,chainage,what,Delay
LRP415c,21.1754208098765,92.1562526135802,48.2,D,120434.0,419.278,bridge,"Random.Uniform(15,60)"
LRP416,21.236333,92.1586667,,,,411.119,roadpoint,0
LRP416a,21.1724828063829,92.1552940329787,9.4,A,120436.0,419.63,bridge,"Random.Uniform(10,20)"
LRP416a,21.1724828063829,92.1552940329787,9.4,C,100800.0,419.63,bridge,"Random.Uniform(10,20)"
LRP416b,21.1703723502057,92.1547387765432,31.1,B,100798.0,419.88,bridge,"Random.Uniform(15,60)"
LRP416b,21.1703723502057,92.1547387765432,21.5,A,120456.0,419.88,bridge,"Random.Uniform(15,60)"
LRP416d,21.1688213638709,92.153662396129,9.4,B,100793.0,420.093,bridge,"Random.Uniform(10,20)"
LRP416d,21.1688213638709,92.153662396129,9.4,C,120458.0,420.093,bridge,"Random.Uniform(10,20)"
LRP416e,21.168232930909,92.1531459818181,3.0,A,100796.0,420.18,bridge,"Random.Uniform(10,20)"
LRP416f,21.1666653482213,92.1523376486166,9.3,B,100791.0,420.406,bridge,"Random.Uniform(10,20)"
LRP417,21.2283604,92.1617222,,,,412.129,roadpoint,0
LRP417a,21.1655725596837,92.1522082019762,3.0,C,100790.0,420.537,bridge,"Random.Uniform(10,20)"
LRP417b,21.16498780625,92.152190071875,4.6,A,100788.0,420.606,bridge,"Random.Uniform(10,20)"
LRP417c,21.1619757444915,92.1523314669491,1.25,C,100787.0,420.952,bridge,"Random.Uniform(10,20)"
LRP417d,21.1602045009259,92.1525257175926,3.0,A,100785.0,421.156,bridge,"Random.Uniform(10,20)"
LRP417e,21.1584534746478,92.1525195633802,3.0,C,100783.0,421.358,bridge,"Random.Uniform(10,20)"
LRP418,21.2198049,92.1618611,,,,413.131,roadpoint,0
LRP418a,21.1524632792452,92.1534145867924,9.4,C,100781.0,422.081,bridge,"Random.Uniform(10,20)"
LRP418b,21.1498906490706,92.1552156215613,15.2,C,100779.0,422.447,bridge,"Random.Uniform(15,60)"
LRP418c,21.2142778,92.166666,,,,414.03,roadpoint,0
LRP419,21.21375,92.1674438,,,,414.13599999999997,roadpoint,0
LRP419a,21.1477676743494,92.1570426250929,58.0,C,100792.0,422.784,bridge,"Random.Uniform(45,90)"
LRP419a,21.1477676743494,92.1570426250929,57.6,A,120465.0,422.784,bridge,"Random.Uniform(45,90)"
LRP419b,21.2105833,92.1681382,,,,414.50800000000004,roadpoint,0
LRP419c,21.1425462548387,92.159429216129,3.3,B,100794.0,423.442,bridge,"Random.Uniform(10,20)"
LRP420,21.2056389,92.1703327,,,,415.144,roadpoint,0
LRP420a,21.1408647661691,92.1605222283582,15.4,C,100795.0,423.67,bridge,"Random.Uniform(15,60)"
LRP420b,21.1989997,92.1703604,,,,415.91900000000004,roadpoint,0
LRP420c,21.140210455058,92.1615530950248,3.3,A,100797.0,423.804,bridge,"Random.Uniform(10,20)"
LRP420d,21.1388871840796,92.1636379074626,3.3,A,100799.0,424.075,bridge,"Random.Uniform(10,20)"
LRP420e,21.1380664956896,92.1651978,1.2,A,100803.0,424.271,bridge,"Random.Uniform(10,20)"
LRP420f,21.1379210829268,92.1663534195121,32.0,C,100813.0,424.395,bridge,"Random.Uniform(15,60)"
LRP421,21.196944100000003,92.1707493,,,,416.157,roadpoint,0
LRP421a,21.1376124564885,92.1680587053435,12.3,D,120475.0,424.577,bridge,"Random.Uniform(15,60)"
LRP421b,21.1925552,92.16972159999999,,,,416.68800000000005,roadpoint,0
LRP421c,21.1373350498154,92.1700112125461,1.2,C,100805.0,424.783,bridge,"Random.Uniform(10,20)"
LRP421d,21.1366125359375,92.1745027796875,15.2,C,120489.0,425.267,bridge,"Random.Uniform(15,60)"
LRP421d,21.1366125359375,92.1745027796875,15.2,B,100808.0,425.267,bridge,"Random.Uniform(15,60)"
LRP421f,21.1360412976525,92.1760569938967,4.8,A,100809.0,425.455,bridge,"Random.Uniform(10,20)"
LRP422,21.1897497,92.166666,,,,417.164,roadpoint,0
LRP422a,21.1349149157894,92.1779379605263,1.3,C,100816.0,425.715,bridge,"Random.Uniform(10,20)"
LRP422b,21.1342388024291,92.179158717004,3.3,A,100818.0,425.882,bridge,"Random.Uniform(10,20)"
LRP422c,21.1318968873563,92.1846917362069,4.7,B,100820.0,426.555,bridge,"Random.Uniform(10,20)"
LRP423,21.1843052,92.15941670000001,,,,418.19,roadpoint,0
LRP423a,21.1299737216216,92.1868158522522,1.2,C,100822.0,426.881,bridge,"Random.Uniform(10,20)"
