id,condition,lon,lat,average_delay
4,A,90.4588610799999,23.69873866,0.0
10,A,90.4877749181818,23.6946638363636,0.0
17,C,90.5232141463513,23.7050598925675,0.0
23,B,90.5350989801047,23.6964000869109,0.0
24,A,90.5375740774869,23.6943906141361,0.0
26,A,90.5377073719626,23.6943023869158,0.0
30,A,90.5409183897196,23.6923601518691,0.0
32,B,90.5454624957575,23.6909119315151,0.0
35,A,90.5485585290816,23.6884123260204,0.0
37,A,90.548649807653,23.6883197331632,0.0
40,A,90.551207981081,23.685583027027,0.0
42,A,90.5513591765258,23.6853619779342,0.0
44,A,90.5558194349999,23.6778035,0.0
49,B,90.563856994797,23.6633090696149,0.0
55,C,90.576730225,23.6544257051136,0.0
60,B,90.5814943946902,23.6515705663716,0.0
61,A,90.57741042,23.65397226,0.0
63,B,90.5845490085483,23.6497543993548,0.0
65,B,90.5892119813559,23.6459685949152,0.0
70,A,90.5936673976923,23.6379543715384,0.0
72,B,90.597394085,23.63380522,0.0
76,A,90.6023015723077,23.6284668507692,0.0
78,B,90.6083528852459,23.6198832229508,0.0
84,A,90.6095506105882,23.6176407964705,0.0
86,B,90.6109029561497,23.613587384385,0.0
88,C,90.6155316965675,23.6027595885583,0.0
92,A,90.6279699370919,23.5929818827893,0.0
94,A,90.6302368598101,23.5908088547468,0.0
97,A,90.6345094207093,23.58631812254,0.0
100,A,90.6419193089939,23.5779800248475,0.0
106,A,90.6454159236842,23.5716306256965,0.0
109,A,90.6486237247282,23.5660033956521,0.0
116,A,90.6557475703703,23.5591910296296,0.0
120,A,90.6597414245569,23.5557082901265,0.0
122,A,90.6643538752577,23.5517421907216,0.0
124,A,90.6690554098214,23.5477377446428,0.0
127,A,90.669192065625,23.5476246437499,0.0
130,A,90.6748292125,23.54268543125,0.0
131,C,90.6784577888,23.5393910168,0.0
133,A,90.6858701078341,23.5327751898617,0.0
138,A,90.68744892596,23.5313996605222,0.0
140,A,90.6897951837349,23.5301519626506,0.0
142,A,90.7024402743,23.5303844733,0.0
152,C,90.7242807234,23.5324186,0.0
153,B,90.7291780095,23.5317587831999,0.0
159,C,90.75825325,23.5298050611,0.0
165,C,90.7800797251533,23.5307655282208,0.0
170,C,90.7918075171727,23.5308683409424,0.0
175,A,90.8110155135,23.5318234765,0.0
180,A,90.8309774761999,23.5329743291,0.0
184,C,90.8442186132,23.5229166652,0.0
188,C,90.8757204035353,23.510087758207,0.0
196,B,90.9021745389,23.5060024341,0.0
200,B,90.9214660218,23.5056131416,0.0
207,B,90.9432418928,23.5024077848,0.0
208,A,90.9473844088999,23.5013551924,0.0
213,B,90.9715772516,23.495896314,0.0
216,A,90.9887200416,23.4932728146,0.0
224,C,91.017566692647,23.4868805937254,0.0
230,B,91.0463348850746,23.4817873233065,0.0
232,B,91.0563549686842,23.4817498298684,0.0
236,A,91.0674097692,23.480613086,0.0
240,C,91.0847406393,23.4776722851,0.0
243,B,91.1070332074074,23.4781159049382,0.0
247,A,91.1238920825688,23.4794083880733,0.0
249,A,91.129047144,23.479544924,0.0
258,C,91.1493668151188,23.4436339598272,0.0
266,C,91.1678943372365,23.4212487704918,0.0
273,B,91.1939029849206,23.4119324230158,0.0
280,C,91.2234221346859,23.3976518197887,0.0
287,A,91.2450175414999,23.3713647755,0.0
296,C,91.2572910746724,23.3521636774381,0.0
300,A,91.264485636,23.342671472,0.0
305,A,91.2748792824,23.3301462324,0.0
311,A,91.2830867321701,23.3180696869138,0.0
314,B,91.2865787034735,23.3083612731261,0.0
316,B,91.2889770397351,23.3034306450331,0.0
318,A,91.2910141369942,23.2979675271676,0.0
324,A,91.2929584711155,23.2897066386454,0.0
327,B,91.2966655096899,23.2821949258397,0.0
331,B,91.3029661882,23.27301895,0.0
335,B,91.3070217386138,23.2618360940594,0.0
336,B,91.3073611,23.25941665,0.0
337,B,91.3076156494075,23.2576429774881,0.0
339,B,91.3083926405213,23.2527463398104,0.0
344,B,91.3114032292592,23.2443915125925,0.0
346,B,91.3119739539877,23.2429040619631,0.0
347,A,91.3125740860465,23.2397920309669,0.0
349,A,91.3129901976744,23.2360759516523,0.0
352,B,91.3134220678571,23.2289195919642,0.0
356,B,91.3135697177215,23.2259184472573,0.0
358,A,91.3137005933333,23.2220338977777,0.0
363,B,91.3153497403899,23.2131955721448,0.0
366,A,91.3163167282749,23.2050386287937,0.0
370,A,91.3176705069364,23.1961887953757,0.0
372,C,91.3209051317399,23.1874350254302,0.0
375,B,91.3208787514658,23.1817958149837,0.0
379,B,91.3205774642857,23.1726272318681,0.0
383,A,91.3215889464646,23.1635138669191,0.0
386,B,91.3243178772152,23.1527364949367,0.0
389,B,91.3266680470308,23.1436667679334,0.0
392,B,91.3263585348877,23.1389893200345,0.0
397,B,91.327546416481,23.1332639685968,0.0
398,A,91.3303863688888,23.1252363577777,0.0
400,B,91.3328165129032,23.1196973774193,0.0
403,B,91.335094485,23.1158251554,0.0
407,A,91.3400495436111,23.1074284451388,0.0
410,B,91.343162998913,23.1017563206521,0.0
411,B,91.3454956309091,23.0973512527272,0.0
414,A,91.3478308386627,23.0930298369186,0.0
416,B,91.3512101492753,23.0870753710144,0.0
418,A,91.3541811474383,23.0819909531309,0.0
421,B,91.3566005031331,23.0779647046997,0.0
424,B,91.3603022,23.070198184,0.0
431,B,91.3618624619047,23.0607473333333,0.0
436,A,91.3656784724359,23.0379728055555,0.0
440,A,91.3655004839721,23.0269801170731,0.0
446,A,91.3779796149837,23.0124048410423,0.0
453,A,91.3957752,22.999248756,0.0
