scenario,A,B,C,D,driving_time
S0,0,0,0,0,583.0
S1,0,0,0,5,601.0
S2,0,0,0,10,601.0
S3,0,0,5,10,1118.0
S4,0,0,10,20,1281.0
S5,0,5,10,20,1330.0
S6,0,10,20,40,2360.0
S7,5,10,20,40,3259.0
S8,10,20,40,80,4766.0
